Provider_Clean,ContractTitle_Clean,ContractNumber_Clean,Year,AnnualForecastSpend
Nationwide Towing Services,Vehicle tow away and impound services,3585,2030,28850611.086692963
Programmed Facility Management Pty Ltd,Building maintenance services,3630,2025,30116628.34386574
Programmed Facility Management Pty Ltd,Building maintenance services,3630,2026,29301309.394645113
Programmed Facility Management Pty Ltd,Building maintenance services,3630,2027,28487211.701126575
Programmed Facility Management Pty Ltd,Building maintenance services,3630,2028,27873802.273529425
Programmed Facility Management Pty Ltd,Building maintenance services,3630,2029,27012028.511910483
Programmed Facility Management Pty Ltd,Building maintenance services,3630,2030,26196709.55847544
Programmed Facility Management Pty Ltd,Building maintenance services,3630,2031,2001980.6719070573
Reino International Pty Ltd T/A Duncan Solutions,Parking technology services,3623,2025,30539537.96489845
Reino International Pty Ltd T/A Duncan Solutions,Parking technology services,3623,2026,29487998.786037408
Reino International Pty Ltd T/A Duncan Solutions,Parking technology services,3623,2027,28436505.213950615
Reino International Pty Ltd T/A Duncan Solutions,Parking technology services,3623,2028,27332307.801740386
Reino International Pty Ltd T/A Duncan Solutions,Parking technology services,3623,2029,26380945.312399015
Reino International Pty Ltd T/A Duncan Solutions,Parking technology services,3623,2030,25329641.147520255
Reino International Pty Ltd T/A Duncan Solutions,Parking technology services,3623,2031,1801480.1915585303
SERCO,Open spaces management - region 2,3677,2025,31196299.082492378
SERCO,Open spaces management - region 2,3677,2026,31010609.192142107
SERCO,Open spaces management - region 2,3677,2027,30826590.918544147
SERCO,Open spaces management - region 2,3677,2028,31035817.699576892
SERCO,Open spaces management - region 2,3677,2029,30292608.194965478
SERCO,Open spaces management - region 2,3677,2030,30106918.303855475
Showtime Event Group Pty Ltd,Melbourne Town Hall venue management,3670,2025,29557933.70154357
Showtime Event Group Pty Ltd,Melbourne Town Hall venue management,3670,2026,29664586.39525777
Showtime Event Group Pty Ltd,Melbourne Town Hall venue management,3670,2027,29770889.695797052
Showtime Event Group Pty Ltd,Melbourne Town Hall venue management,3670,2028,29250634.773293152
Showtime Event Group Pty Ltd,Melbourne Town Hall venue management,3670,2029,29936238.67483362
Showtime Event Group Pty Ltd,Melbourne Town Hall venue management,3670,2030,30042456.653696965
Spotless Facility Services Pty Ltd,Street cleaning,3669,2025,32203188.845813554
Spotless Facility Services Pty Ltd,Street cleaning,3669,2026,31500357.322358996
Spotless Facility Services Pty Ltd,Street cleaning,3669,2027,30798455.714996308
Spotless Facility Services Pty Ltd,Street cleaning,3669,2028,31622428.548956763
Spotless Facility Services Pty Ltd,Street cleaning,3669,2029,29346028.93555747
Spotless Facility Services Pty Ltd,Street cleaning,3669,2030,28643196.431866385
Spotless Facility Services Pty Ltd,Street cleaning,3669,2031,2544615.7701077526
Victorian YMCA Community Programming Pty Ltd,Management of Active Melbourne recreation facilities,3615,2025,30872832.007617664
Victorian YMCA Community Programming Pty Ltd,Management of Active Melbourne recreation facilities,3615,2026,30119346.533227116
Victorian YMCA Community Programming Pty Ltd,Management of Active Melbourne recreation facilities,3615,2027,29363681.08766155
Victorian YMCA Community Programming Pty Ltd,Management of Active Melbourne recreation facilities,3615,2028,27991458.17603587
Victorian YMCA Community Programming Pty Ltd,Management of Active Melbourne recreation facilities,3615,2029,27674703.705738094
Victorian YMCA Community Programming Pty Ltd,Management of Active Melbourne recreation facilities,3615,2030,26921218.14668458
