ds,ForecastSpend,yhat_lower,yhat_upper,Provider_Clean,ContractTitle_Clean,ContractNumber_Clean
2027-03-01,14525216.014821168,12136341.68850766,17116240.351384167,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-04-01,14803165.666658482,12350497.64121834,17327819.202869415,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-05-01,14022456.523499113,11628195.40284945,16438720.527975295,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-06-01,14945616.354104238,12350540.05712765,17385465.579533476,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-07-01,13133255.360369712,10513090.250384776,15734784.532032982,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-08-01,14404014.367956422,11880419.757934015,17036291.614909843,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-09-01,12541988.795164526,9941938.331376953,15138905.118970215,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-10-01,16135178.310009794,13686948.83397394,18691712.78562096,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-11-01,16264847.690890698,13933916.852223985,19002409.706915364,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-12-01,14373150.653183632,11854629.241237424,16935427.561850835,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-01-01,12779159.402667087,10260649.745368417,15326988.430487167,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-02-01,11876577.135124188,9483764.979230583,14396424.725734184,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-03-01,15968193.394700257,13403817.712599995,18415651.85885162,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-04-01,13537136.941595666,11045454.854215648,15958110.231766667,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-05-01,11735162.435260382,9219984.352321673,14105462.961064659,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-06-01,13490534.85686635,10742251.104311215,15954374.315747607,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-07-01,13489038.371073483,10840727.767390333,15947572.567900524,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-08-01,15750384.083656874,13232800.26078306,18229511.887207,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-09-01,14098304.03087297,11682231.98321799,16658015.924980868,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-10-01,15224867.410639746,12683583.541870413,17644066.80167154,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-11-01,12865282.8467118,10217955.551186668,15424723.458452044,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2028-12-01,14561515.638575228,12018716.10112001,17009839.724062942,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-01-01,11806521.580334822,9102005.910167655,14386472.109507622,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-02-01,13040860.767954651,10723437.158681288,15592452.555537522,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-03-01,15033766.925145023,12546925.370227959,17536180.827521462,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-04-01,13498733.555128153,10930473.6202235,16123245.622606922,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-05-01,12057982.229162598,9415441.617096432,14570585.706370478,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-06-01,13555265.180138487,11143949.993112173,16017192.787765147,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-07-01,12952358.940485844,10259850.05153339,15444141.13305492,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-08-01,14871535.989384595,12372640.600056166,17604821.86599654,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-09-01,13126185.893089503,10662910.997922402,15740552.681259427,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-10-01,15064930.078071538,12603340.537331432,17595728.72362646,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-11-01,13560636.080409931,10968782.551746666,16124301.079603784,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2029-12-01,14077518.618619379,11501238.454559319,16615167.995153362,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-01-01,11706919.412108496,9418382.012219205,14200122.91271632,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-02-01,12227667.968588786,9865154.088182893,14790829.33870363,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-03-01,14115103.196736071,11572902.324325219,16603186.656185742,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-04-01,13483440.729675367,11082743.120603189,16058898.711315349,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-05-01,12383328.537109235,9868950.43403803,14777332.971190587,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-06-01,13603076.552513847,10939787.837345848,16054443.35988469,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-07-01,12396217.16611809,9845205.648451673,14944628.774084339,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-08-01,13985005.615991106,11589121.913574267,16275992.237236748,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-09-01,12169691.411843086,9774031.37247519,14645157.476438204,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-10-01,14931070.494148213,12458521.987975745,17622294.079794712,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-11-01,14256820.95397104,11772168.204497242,16825050.87618878,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2030-12-01,13577353.875016851,10888515.343555743,15903584.288606245,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2031-01-01,11593721.88488644,9119817.149450844,14116007.44988274,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-01-01,12636904.146790385,10242166.388817769,15133716.312978877,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-02-01,14773869.366542315,12300376.863048293,17192158.34144549,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-03-01,15063754.172191268,12607066.0291681,17608067.209714703,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-04-01,15794934.017927485,13368580.726461364,18103176.885931566,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-05-01,15025001.833004376,12691982.561980218,17636802.117405757,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-06-01,16591736.811861409,14251652.792341067,19279976.55068302,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-07-01,14415689.930340972,11972435.054057077,16955222.672860127,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-08-01,14130461.459513828,11509943.794628907,16455756.677679984,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-09-01,15203827.447601074,12677614.825151099,17644996.374573607,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-10-01,15069994.573930776,12619901.027533824,17721062.61490744,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-11-01,14609813.720685352,12074049.030503633,16983881.504855815,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-12-01,14460790.747871159,12015789.577400118,16806958.84910455,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-01-01,12505454.657324119,10003511.085808445,14868967.204554595,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-02-01,14861754.252717447,12443538.028633643,17167041.254345175,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-03-01,13972221.827012315,11671321.219020458,16553524.709789868,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-04-01,15369797.098783799,12896843.20219139,17821341.78512924,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-05-01,14881197.34829905,12460642.49771478,17359077.997442625,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-06-01,14781410.726754151,12298526.337273115,17183061.980814196,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-07-01,14621175.252759892,12258655.59433043,17062386.778668847,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-08-01,14616692.058562726,12046998.72033174,16958964.54378137,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-09-01,14548656.354567822,12160517.332663009,16871929.402383443,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-10-01,14185998.221199472,11580859.223957015,16480793.08488779,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-11-01,13496240.301497523,10931137.112972988,15839069.2423355,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2026-12-01,14117108.00759198,11670908.333088174,16604780.849053482,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-01-01,12383563.203795675,9985686.444264011,14855732.866302947,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-02-01,14938738.30097657,12549199.1391789,17411868.733292125,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-03-01,12873702.05850742,10525477.55803213,15371388.038947493,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-04-01,14949871.773860585,12341301.483908007,17592382.66164771,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-05-01,14724624.832019363,12059461.27313814,17122911.651105054,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-06-01,12980309.491300005,10392158.723314814,15332986.080029096,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-07-01,14855568.42604406,12442277.469233358,17369207.113061626,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-08-01,15092653.977101324,12697658.951595804,17482053.699894145,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-09-01,13869096.845128471,11500186.997035123,16424641.991387751,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-10-01,13292094.379712008,10954838.247471347,15502112.971591465,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-11-01,12391907.633251518,10003859.533187164,14732097.045370497,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2027-12-01,13791703.790773125,11162746.644272698,16205511.175119605,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-01-01,12270528.918914244,9913062.109975573,14721886.693483682,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-02-01,15004016.377704643,12583752.196047751,17300659.058905255,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-03-01,14180976.689494925,11707733.961907102,16739864.47546366,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-04-01,14258463.932846528,11660362.620191101,16608098.768371895,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-05-01,13189238.618754981,10573365.714848263,15473354.288133506,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-06-01,16443159.86665875,13834691.290488029,18943570.459933896,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-07-01,12273017.84027596,9879660.980527593,14632509.229341721,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-08-01,11668347.817750243,9174111.023275843,14149340.593124984,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-09-01,13867675.33508308,11382364.333527487,16367120.533753628,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-10-01,13976374.125772126,11548153.131487023,16422010.282252913,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-11-01,13764742.012630884,11219129.810220372,16243017.831866097,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2028-12-01,12855839.649545357,10417188.087043913,15196654.844069947,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-01-01,10669814.847670399,8349007.3119491665,13149730.186402354,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-02-01,12806745.18514531,10349389.95121513,15278726.186548097,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-03-01,13096598.484238796,10584114.974714845,15602445.021590969,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-04-01,13827743.447645616,11335306.30600076,16207636.062118178,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-05-01,13057777.505627695,10478196.528816193,15453491.373947887,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-06-01,14624477.602115871,12099739.258784238,17011366.33333608,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-07-01,12448396.963467792,9952684.90743694,14741807.963690942,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-08-01,12163133.610318555,9777135.825574521,14631515.492963322,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-09-01,13236464.716085063,10895345.497104896,15689295.67268868,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-10-01,13102598.085348839,10622029.41263625,15720079.50935593,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-11-01,12642382.349848341,10079477.853462134,15198633.170080183,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2029-12-01,12493325.620019892,9944851.890677314,14953206.772080423,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-01-01,10537954.64718347,8014656.905187733,13047101.398451691,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-02-01,12894219.360285526,10148493.564621622,15327399.48373472,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-03-01,12004655.42800133,9654551.731223017,14643269.673700122,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-04-01,13402195.817490693,10841814.94468947,15885159.799995258,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-05-01,12913562.309991006,10503243.23046826,15120860.137522426,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-06-01,12813740.806194915,10374653.12353274,15215840.415024137,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-07-01,12653471.5752035,10099720.215256762,15124196.5714982,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-08-01,12648953.498780666,10300227.925702969,15038159.394997122,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-09-01,12580882.912585042,9926541.854789566,14948842.524242036,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-10-01,12218191.022266306,9558711.069585452,14406456.148146152,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-11-01,11528398.220366223,9009758.400268456,14080439.487344751,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2030-12-01,12149232.169498757,9706953.62542368,14755952.742293565,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2031-01-01,10415652.483487789,7814399.182965705,12608210.080782795,Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665
2025-01-01,12570658.518525537,10048934.059856655,15159991.725701855,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-02-01,13705962.68952551,11226774.468431897,16232500.55571359,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-03-01,14126427.736860236,11572927.861694174,16898120.36591892,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-04-01,16094963.197100831,13632410.29598178,18699517.607257716,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-05-01,15484507.410528228,12846556.088770181,17926356.084132727,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-06-01,15774610.369072756,13087405.663752072,18252748.610709343,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-07-01,15101617.81111627,12502030.842139639,17649538.668394372,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-08-01,15406839.961067365,12526242.916605929,18110276.470375467,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-09-01,15469945.046574157,12687735.392903084,18084542.630721245,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-10-01,15397780.317805277,12896887.506336357,18046009.397206623,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-11-01,15325801.446728947,12735645.107592734,18020068.174945243,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2025-12-01,15302327.462679246,12663193.66408079,18002692.807409257,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-01-01,12223885.724419208,9513801.548738888,14633478.892308218,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-02-01,13559618.140636057,11000981.495377442,16181219.698917665,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-03-01,13321448.506996622,10679546.429252265,15795455.473529,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-04-01,15400970.543983545,12782166.385839785,17943253.6565214,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-05-01,15834351.339839067,13025417.13719598,18256996.155369937,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-06-01,15405874.001805246,12898084.590197328,18106583.80203167,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-07-01,14795077.491856985,12266629.044195198,17217593.639052905,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-08-01,14543327.980709724,11850065.468022881,17084340.58854393,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-09-01,15329609.621965429,12605585.822752163,17816508.186414074,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-10-01,14890300.618130708,12390392.332481997,17450112.109693214,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-11-01,15062471.508116025,12281701.568793917,17713191.751315497,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2026-12-01,15080337.294040715,12479819.554468095,17479893.625831988,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-01-01,11875997.186373543,9161043.821754022,14271215.399898851,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-02-01,13405776.404688353,10862566.916344427,16081425.17299649,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-03-01,12514378.49231635,10136097.174882049,15122812.019490017,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-04-01,14722503.968441138,12249750.013158426,17473470.046004966,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-05-01,16189204.995688165,13742417.202744124,18738548.42006118,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-06-01,15027633.05154302,12375600.228018042,17519238.136772018,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-07-01,14479596.81931714,11835501.314062823,17059562.24082053,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-08-01,13680851.395200318,11185839.134288333,16211590.227357863,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-09-01,15194468.32630329,12348629.986283993,17695218.950845413,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-10-01,14384547.667719552,11688914.283922939,16915132.620413806,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-11-01,14803296.288352195,12245891.035616996,17347965.849438768,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2027-12-01,14856887.26706335,12179203.907483725,17302091.92982074,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-01-01,11526884.579615213,8971782.543660242,14282203.276491307,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-02-01,13244279.969437277,10494449.63771165,15797552.365663571,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-03-01,13479137.977382809,10979048.20108682,16052919.042556737,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-04-01,15354560.480364807,12827548.797519678,18044131.106879145,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-05-01,13690843.92226068,11100021.746900847,16378001.118743401,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-06-01,14684461.43218768,12024185.557058815,17218042.838807624,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-07-01,13949544.479916472,11230333.84192421,16489849.451144107,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-08-01,14821264.39585566,12244864.985871648,17427204.63354609,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-09-01,14165938.483868591,11508165.468665715,16756896.149664883,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-10-01,14457299.495801132,11689911.156101381,17033574.805145834,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-11-01,14143814.955921786,11216750.995192684,16558550.403353916,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2028-12-01,14073455.90619861,11381873.225734195,16869890.696472574,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-01-01,11121058.479929792,8394995.24494928,13729159.73428833,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-02-01,12256361.93157592,9767703.54700382,14843146.75474432,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-03-01,12676826.329178952,10249396.732556706,15260385.312205058,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-04-01,14645361.070046,12120089.959857954,17258993.180650268,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-05-01,14034904.587310784,11426850.841519883,16661495.092993075,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-06-01,14325006.826485263,11899661.899866186,16947492.709086467,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-07-01,13652013.57236748,11132855.622512676,16273208.080723254,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-08-01,13957235.002982914,11277810.12071228,16609616.833408331,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-09-01,14020339.36915261,11421396.289478797,16672690.641718391,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-10-01,13948173.944186946,11500727.54026878,16571472.85446447,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-11-01,13876194.353600949,11293605.989021918,16317169.363834135,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2029-12-01,13852719.673254378,11145549.5476898,16430402.913694505,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-01-01,10774277.215426087,8151410.7770561995,13170539.274414841,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-02-01,12110008.912080515,9730907.277075294,14635807.59477153,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-03-01,11871838.628544282,9303656.263355175,14569352.340666035,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-04-01,13951359.946008554,11350925.167704403,16622380.363276418,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-05-01,14384740.04547757,11897452.731086252,16840251.094688762,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-06-01,13956261.987846147,11485202.817917151,16606358.718015116,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-07-01,13345464.781499201,10584251.597338635,15940377.77098207,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-08-01,13093714.550731322,10453614.129373157,15690133.73672735,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-09-01,13879995.472318219,11288436.498573806,16655421.1011162,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-10-01,13440685.772024704,10865018.865157316,16120860.204173028,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-11-01,13612855.942446174,10873649.294895314,16154355.589137927,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2030-12-01,13630721.032014793,11010826.168152608,16029245.240384778,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
2031-01-01,10426380.204702439,7910321.6429331675,13131723.247185593,Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676
