Provider_Clean,ContractTitle_Clean,ContractNumber_Clean,ds,ForecastSpend,yhat_lower,yhat_upper
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-09-01,31165979.68346325,25646842.096331496,36765039.96152617
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-10-01,34379185.45614142,29124469.36538121,40657320.823027454
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-11-01,33237537.07478734,27773333.471630555,38716983.9733999
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-12-01,33850630.18652842,28333545.5353687,39717979.66557984
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-01-01,27599580.9313273,21776483.32147009,33440756.86417132
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-02-01,29715178.232432857,23768631.174551006,35253999.13129311
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-03-01,32592689.210609782,27132766.75353847,38216419.373452425
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-04-01,32977475.060382355,27809483.514788777,38818615.50460963
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-05-01,31346294.446739595,25993033.668421797,37075078.569233485
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-06-01,31577764.76352636,25713979.850244883,37503929.89341117
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-07-01,31697666.99768792,26323121.585906222,37469455.32517589
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-08-01,31464203.00657765,25977115.002546564,37162447.234417565
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-09-01,30030565.597833306,24206525.400032382,35633579.273429774
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-10-01,35493613.01553019,29873844.01517923,41375264.90179178
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-11-01,33104031.500510216,27574275.891653508,38426227.56056914
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030-12-01,31875182.630634125,26044135.45554276,37319623.87103128
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2031-01-01,27812923.56186193,21806590.178754024,33432010.23773867
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-01-01,30278547.18953431,25131146.43225998,35261575.01997109
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-02-01,31992761.2788834,26687673.570545822,36879992.02094748
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-03-01,37615354.0468771,32231877.03271848,42613039.0234511
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-04-01,35103295.26314786,29955044.197625536,40195645.06635109
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-05-01,35018587.60546484,29875623.51685835,40122991.82657045
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-06-01,36327495.88518466,31336496.63882471,41465841.30000373
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-07-01,34024983.3187321,29000729.81654951,39257839.82244644
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-08-01,34632786.388630554,29652179.43047412,39617580.009389535
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-09-01,34485472.71147125,29555914.83907574,39579999.778590366
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-10-01,35383116.89116276,30361722.860816214,40268538.5418923
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-11-01,33923109.64176383,28723446.423752725,39285682.95891291
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025-12-01,33619365.477284975,28515523.67862121,38924764.25249298
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-01-01,29134809.993986763,24306856.58027744,34546680.83222735
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-02-01,32668504.0252361,27651216.026344422,38292847.91157471
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-03-01,35671983.71738167,30755630.82652942,40972172.40100562
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-04-01,34016587.65593819,28994345.45045967,38837145.18995079
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-05-01,33983623.88062678,28619123.305522174,39292281.64188447
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-06-01,34945231.103598185,30050223.53605108,40293790.98918698
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-07-01,33706445.54589738,28430405.030502666,38511193.28374756
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-08-01,35632808.685781024,30188227.164261583,40972491.374071136
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-09-01,33236998.96468389,27761614.681296952,38514151.84697633
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-10-01,32882533.491626807,27979449.364778586,37927617.51680651
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-11-01,32829883.208941087,27555759.91337855,38359970.39467391
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026-12-01,33640956.18756132,28542426.418412067,39096214.09495521
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-01-01,28002978.483105484,22934980.15075893,33227716.72179489
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-02-01,33333454.84794581,28280134.29373711,38279230.47841842
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-03-01,33703881.18021329,28543826.318190508,38702400.04692829
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-04-01,32935130.60812792,28015764.56969293,38065260.4330826
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-05-01,32954834.067610662,27599606.53426887,38084692.02531665
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-06-01,33583576.1960364,28566016.2685894,38718685.58083195
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-07-01,33417585.276857816,28066421.42338768,38407276.91706167
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-08-01,36610988.806552425,31719450.03079089,41634519.167470135
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-09-01,31935485.962600406,26379632.90144009,36966395.40690664
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-10-01,30381772.595808275,25093814.93252228,35504252.17212331
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-11-01,31773431.88431497,26469538.233573657,37187126.06724553
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027-12-01,33675215.88788836,28790538.525775816,38862839.8149272
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-01-01,26882599.614302155,21827184.213241424,31907369.848410744
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-02-01,33985903.830143936,29091924.44875177,39312192.57713855
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-03-01,36156789.82104534,30982217.27604166,41513131.26113511
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-04-01,32818419.80609907,27409161.15485584,37963846.28392882
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-05-01,32683110.70971777,27046158.14334179,37755763.30789756
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-06-01,34353715.162497535,29347784.95767559,39452662.77969237
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-07-01,30998152.708792605,25620478.986123446,36074709.65318832
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-08-01,30236991.96997463,24675852.48167606,35479207.23562548
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-09-01,32304391.77380736,27070441.63925007,37594465.16827476
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-10-01,34505195.410865225,29650897.880278908,39677806.40423473
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-11-01,31676324.146135435,26627476.327942997,37129752.83904427
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028-12-01,30235190.44103277,25273643.387793917,35183564.1574512
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-01-01,26902339.7538277,21687326.271397594,31747016.52076305
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-02-01,28616537.50029379,23216544.234006584,33246680.88160569
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-03-01,34239115.50701093,28759421.80489933,39105726.48223983
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-04-01,31727040.380530626,26424424.097508103,37048679.44888916
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-05-01,31642316.9072706,26402622.26536311,36725943.94989262
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-06-01,32951208.844283927,28067458.68195424,37739081.44974364
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-07-01,30648680.462300647,25592417.967199814,35825853.31796838
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-08-01,31256467.189400896,25934267.65287844,36185135.73185085
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-09-01,31109137.169453893,26212885.106884208,36051908.38887748
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-10-01,32006765.53363531,26999668.77145935,36956722.09219539
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-11-01,30546741.94153559,25497526.664837204,35704389.30126432
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029-12-01,30242981.961531702,25097213.64050829,35293212.23934852
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-01-01,25758410.135468848,20612730.446732536,30789386.451473787
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-02-01,29292087.823937133,24132883.87467856,34748365.358218975
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-03-01,32295552.754892245,26853813.540342752,37212810.87789148
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-04-01,30640140.3507206,25765168.69228139,36249906.441429615
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-05-01,30607160.759875555,25830219.31549659,35786200.86916925
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-06-01,31568751.640126903,26340775.954339907,36456970.88571942
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-07-01,30329950.2668293,24636826.97187868,35564878.64433117
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-08-01,32256297.063943397,27080795.098120578,37418351.2160461
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-09-01,29860471.00016241,24773499.80835099,34983640.55380491
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-10-01,29505989.711625934,24274232.285920788,34472239.60171507
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-11-01,29453323.086198803,24063712.50235044,34439637.30777774
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030-12-01,30264380.249271654,25015529.76874648,35439982.62501156
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2031-01-01,24626386.20211639,19328229.45010511,29577875.70314279
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-01-01,30771148.43324975,25368811.83408984,36058395.93585284
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-02-01,33952043.20680637,28636591.54523005,39287536.75593343
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-03-01,37038524.92500472,31325594.830018684,42684679.99502631
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-04-01,34136880.626684085,28841001.49860545,39871986.92757896
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-05-01,37312290.50927746,31753265.24653918,42325078.9810633
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-06-01,34671879.78098416,28853771.106088545,40081542.30789008
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-07-01,34626900.36620799,28878118.99144249,40092573.44843039
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-08-01,34983697.79034623,29533893.61051016,40400751.85636044
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-09-01,35159516.20302038,29609410.70624246,40805278.26931615
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-10-01,36132899.50994531,30583467.04638586,41615539.14195164
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-11-01,34074446.06517963,28928356.09513575,39993110.72490992
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025-12-01,35316413.0845021,29774234.81269085,40527266.44699199
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-01-01,30893299.419175632,25177122.78004321,36014241.18831052
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-02-01,33036872.661983185,27579688.965692908,38635982.72687417
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-03-01,35742805.97165303,30588018.58014,41150224.292416
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-04-01,33951199.258479364,28342973.077183902,39693282.35225134
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-05-01,37034202.82324426,31534535.79469462,42470504.04568087
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-06-01,34072632.34239633,28343892.28236774,39652182.20602882
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-07-01,33861283.771011904,28482675.495538875,39711811.02836257
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-08-01,34697585.257792816,29103672.22561418,40122363.67380351
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-09-01,34301436.33942425,28655733.891979944,40122545.35811453
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-10-01,35291227.54907052,29572819.54548391,40378312.85387664
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-11-01,33543431.072806284,28070090.458099104,39098238.08814536
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026-12-01,34880523.21873249,29798012.84679748,40460152.19659617
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-01-01,31006430.57099764,25409546.237294663,36533524.68452623
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-02-01,32102110.350642547,26555280.46369903,37400590.77324867
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-03-01,34457945.29816377,28606947.445000667,39906580.89348862
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-04-01,33782629.28135839,27987762.5608058,39241595.68640519
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-05-01,36751957.527024806,31266629.35478602,42438552.59204736
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-06-01,33466832.97383214,27655776.05385777,38810498.265353344
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-07-01,33096521.870183133,27538051.17741669,38669441.04033753
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-08-01,34407787.22833391,29199996.369979773,39689553.51037095
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-09-01,33436841.754951697,28293419.26151273,39028989.33647671
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-10-01,34455142.19130342,28665288.698510453,39917398.62660536
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-11-01,33022455.026202768,27583288.814742748,38676067.42003842
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027-12-01,34450911.35665257,29306404.14265611,40317595.26954584
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-01-01,31109791.19545843,25668925.759654537,36920167.41446156
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-02-01,31148106.318488963,25370231.61701665,36419228.69110248
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-03-01,35993454.955482416,30326268.5186454,41682867.481830895
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-04-01,31989199.267385203,26446314.96603034,37258309.622569285
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-05-01,35235889.71636036,29751673.80371432,41089685.38028882
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-06-01,32913812.003700104,27391008.51800544,38783300.7239035
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-07-01,33042433.77821745,27314420.90402105,38633544.32293173
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-08-01,32915519.258425407,27622096.743709035,38598293.96255221
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-09-01,33659946.159159504,27948693.907377664,39013289.70855761
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-10-01,34628977.32762229,29386936.51698988,40342329.20801899
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-11-01,32264724.679791342,26856797.662043635,37745678.79024621
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028-12-01,33408165.193818517,27993705.699500613,38800997.471022
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-01-01,28420334.443478405,22832529.81879955,34022807.96794627
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-02-01,31601229.135822494,26118129.13240461,36821938.40925724
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-03-01,34687710.78068043,29434085.68703456,40333450.581441365
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-04-01,31786066.40127128,26515746.874481864,37483394.095622085
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-05-01,34961476.20540188,29763595.300838035,40552649.41328508
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-06-01,32321065.396125626,27135650.93524049,37763151.76125865
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-07-01,32276085.902973782,26521222.96770997,37419280.92908848
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-08-01,32632883.246138148,27554442.827931948,37824797.291884944
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-09-01,32808701.577838883,27025030.667394653,38689390.83847825
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-10-01,33782084.8063477,28185415.94537544,39329392.15286279
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-11-01,31723631.28046356,26089508.050763182,37213502.41775677
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029-12-01,32965598.22128156,27585235.603366323,38217577.09086369
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-01-01,28542484.474779047,22704476.02825237,34216500.489774235
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-02-01,30686057.63641013,24836450.9221398,36099952.62509021
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-03-01,33391990.872731943,27845349.53039356,38965894.38316103
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-04-01,31600384.078355893,26293596.19778311,36889921.258663096
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-05-01,34683387.56455383,29404898.32782689,39903321.86386772
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-06-01,31721817.00252592,26281604.098540224,37345499.63014688
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-07-01,31510468.352577724,26125634.13624715,36744960.28468019
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-08-01,32346769.75818529,26776453.441700384,38023345.8469308
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-09-01,31950620.758534394,25999034.63290491,37239585.313004814
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-10-01,32940411.88952528,27242727.81965157,38575528.81441686
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-11-01,31192615.33210126,25422972.96934937,36878713.64288048
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030-12-01,32529707.399481785,26831682.1887194,37985675.22515278
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2031-01-01,28655614.67075653,23218652.74090417,33874220.25590326
